id	taxid
549282261|emb|CAMC01000182.1|:3535-4767	1215060
NC_001341.1	10876
NC_001402.1	11958
NC_001782.1	12450
NC_002558.1	134606
NC_002564.1	134606
NC_002743.1	1298467
NC_003059.1	168238
NC_003414.1	915293
NC_003538.1	12901
NC_003778.1	192021
NC_004092.1	169696
NC_004515.1	221054
NC_004733.1	221036
NC_004904.1	234829
NC_005052.1	221037
NC_005874.1	220813
NC_005954.1	518829
NC_006632.1	377611
NC_006956.1	302069
NC_006957.1	302070
NC_007212.1	325113
NC_007213.1	326489
NC_007721.1	260479
NC_008237.1	393034
NC_008375.1	345250
NC_008579.1	411248
NC_009450.1	435488
NC_009560.1	447604
NC_009561.1	447605
NC_009562.1	447606
NC_009570.1	447325
NC_009571.1	417192
NC_012493.1	575918
NC_012666.1	640136
NC_013020.1	642260
NC_013025.1	642253
NC_013103.1	661505
NC_013423.1	666635
NC_013424.1	670251
NC_014065.1	755305
NC_014379.1	870465
NC_014646.1	666146
NC_014741.1	929051
NC_014906.1	743026
NC_014927.1	942033
NC_015399.1	759938
NC_015928.1	1072177
NC_018671.1	1234171
NC_018864.1	1176156
NC_018935.1	1213187
NC_019499.1	1250303
NC_019532.1	1255765
NC_020475.1	1297646
NC_021480.1	1343493
NC_021929.1	1367671
GeneID:10019931	880159
GeneID:10019938	880159
GeneID:10019939	880159
GeneID:10019957	880159
GeneID:10020001	880159
GeneID:10020008	880159
GeneID:10020015	880159
GeneID:10020019	880159
GeneID:10020022	880159
GeneID:10020066	880159
GeneID:10020082	880159
GeneID:10020133	880162
GeneID:10020203	880162
GeneID:10020208	880162
GeneID:10020235	880162
GeneID:10020251	880162
GeneID:10020364	880162
GeneID:10020492	880161
GeneID:10020528	880161
GeneID:10020556	880161
GeneID:10020603	880161
GeneID:10020605	880161
GeneID:10020606	880161
GeneID:10021016	696472
GeneID:10021045	696472
GeneID:10021311	700939
GeneID:10021334	700939
GeneID:10021358	700939
GeneID:10021377	700939
GeneID:10021390	700939
GeneID:10021418	700939
GeneID:10021423	700939
GeneID:10021853	932662
GeneID:10051545	75387
GeneID:10061831	939923
GeneID:10100522	714583
GeneID:10100537	714583
GeneID:10100604	941765
GeneID:10100679	938131
GeneID:10100718	931972
GeneID:10100721	931972
GeneID:10100724	931972
GeneID:10100730	931972
GeneID:10100732	931972
GeneID:10100733	931972
GeneID:10100737	931972
GeneID:10100739	931972
GeneID:10110366	573615
GeneID:10146726	931209
GeneID:10146733	931210
GeneID:10146757	909333
GeneID:10172646	190065
GeneID:10172647	190065
GeneID:10172657	190065
GeneID:10192201	1605972
GeneID:10192214	1605972
GeneID:10192232	1605972
GeneID:10192260	1605972
GeneID:10192273	909827
GeneID:10216555	977913
GeneID:10228554	979525
GeneID:10228568	979525
GeneID:10228627	979525
GeneID:10228651	979525
GeneID:10228656	979525
GeneID:10228731	979533
GeneID:10228733	979533
GeneID:10228735	979533
GeneID:10271068	141904
GeneID:10271071	141904
GeneID:10271073	141904
GeneID:10271074	141904
GeneID:10271075	141904
GeneID:10271076	141904
GeneID:10271077	141904
GeneID:10271078	141904
GeneID:10271083	981330
GeneID:10271084	981330
GeneID:10271085	981330
GeneID:10279011	81877
GeneID:10322101	988656
GeneID:10322104	988656
GeneID:10322110	988656
GeneID:10322116	988656
GeneID:10322118	988656
GeneID:10322127	988656
GeneID:10322135	988656
GeneID:10322141	988656
GeneID:10322444	981330
GeneID:10322445	981330
GeneID:10322447	981330
GeneID:10322449	981330
GeneID:10322455	981330
GeneID:10322456	981330
GeneID:10322459	981330
GeneID:10322460	981330
GeneID:10322461	981330
GeneID:10322462	981330
GeneID:10322463	981330
GeneID:10322466	981330
GeneID:10322467	981330
GeneID:10322468	981330
GeneID:10322469	981330
GeneID:10322470	981330
GeneID:10322473	981330
GeneID:10322474	981330
GeneID:10322475	981330
GeneID:10322478	981330
GeneID:10322480	981330
GeneID:10322481	981330
GeneID:10322483	981330
GeneID:10322484	981330
GeneID:10322485	981330
GeneID:10322486	981330
GeneID:10322487	981330
