Database Id	ResultId Count	ResultTaxonomy Count	Domain	Phylum	Class	Order	Family	Genus	Species
EF645690_S000893200	2	4	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	Unclassified
AY676200_S000422110	3	3	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum	Unclassified
AF071880_S000059346	12	12	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	Unclassified
DQ355793_S000711907	41	41	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum	Unclassified
AF242652_S000389874	1	9	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Unclassified
U55240_S000437799	8	9	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Unclassified
CP000102_S000632733	12	12	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Unclassified
X15364_S000529307	7	7	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Unclassified
AF025822_S000427816	54	1166	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Unclassified
AF051404_S000428090	19	1166	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Unclassified
AF056938_S000428185	459	1166	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Unclassified
L77117_S000641399	634	1166	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Unclassified
AY196675_S000401565	1054	1121	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Unclassified
DQ195164_S000653175	67	1121	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Unclassified
AB057722_S000383911	113	702	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Unclassified
M59128_S000436491	589	702	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Unclassified
